AF	아프가니스탄
AM	아르메니아
AZ	아제르바이잔
BH	바레인
BD	방글라데시
BT	부탄
BN	브루나이
KH	캄보디아
CN	중국
CY	키프로스
GE	조지아
IN	인도
ID	인도네시아
IR	이란
IQ	이라크
IL	이스라엘
JP	일본
JO	요르단
KZ	카자흐스탄
KW	쿠웨이트
KG	키르기스스탄
LA	라오스
LB	레바논
MY	말레이시아
MV	몰디브
MN	몽골
MM	미얀마
NP	네팔
KP	북한
OM	오만
PK	파키스탄
PS	팔레스타인
PH	필리핀
QA	카타르
SA	사우디아라비아
SG	싱가포르
KR	대한민국
LK	스리랑카
SY	시리아
TJ	타지키스탄
TH	태국
TL	동티모르
TR	튀르키예
TM	투르크메니스탄
AE	아랍에미리트
UZ	우즈베키스탄
VN	베트남
YE	예멘
AL	알바니아
AD	안도라
AT	오스트리아
BY	벨라루스
BE	벨기에
BA	보스니아 헤르체고비나
BG	불가리아
HR	크로아티아
CZ	체코
DK	덴마크
EE	에스토니아
FI	핀란드
FR	프랑스
DE	독일
GR	그리스
HU	헝가리
IS	아이슬란드
IE	아일랜드
IT	이탈리아
LV	라트비아
LI	리히텐슈타인
LT	리투아니아
LU	룩셈부르크
MT	몰타
MD	몰도바
MC	모나코
ME	몬테네그로
NL	네덜란드
MK	북마케도니아
NO	노르웨이
PL	폴란드
PT	포르투갈
RO	루마니아
RU	러시아
SM	산마리노
RS	세르비아
SK	슬로바키아
SI	슬로베니아
ES	스페인
SE	스웨덴
CH	스위스
UA	우크라이나
GB	영국
VA	바티칸 시국
DZ	알제리
AO	앙골라
BJ	베냉
BW	보츠와나
BF	부르키나파소
BI	부룬디
CV	카보베르데
CM	카메룬
CF	중앙아프리카공화국
TD	차드
KM	코모로
CG	콩고 공화국
CD	콩고 민주 공화국
CI	코트디부아르
DJ	지부티
EG	이집트
GQ	적도 기니
ER	에리트리아
SZ	에스와티니
ET	에티오피아
GA	가봉
GM	감비아
GH	가나
GN	기니
GW	기니비사우
KE	케냐
LS	레소토
LR	라이베리아
LY	리비아
MG	마다가스카르
MW	말라위
ML	말리
MR	모리타니
MU	모리셔스
MA	모로코
MZ	모잠비크
NA	나미비아
NE	니제르
NG	나이지리아
RW	르완다
ST	상투메 프린시페
SN	세네갈
SC	세이셸
SL	시에라리온
SO	소말리아
ZA	남아프리카공화국
SS	남수단
SD	수단
TZ	탄자니아
TG	토고
TN	튀니지
UG	우간다
ZM	잠비아
ZW	짐바브웨
AG	앤티가 바부다
BS	바하마
BB	바베이도스
BZ	벨리즈
CA	캐나다
CR	코스타리카
CU	쿠바
DM	도미니카 연방
DO	도미니카 공화국
SV	엘살바도르
GD	그레나다
GT	과테말라
HT	아이티
HN	온두라스
JM	자메이카
MX	멕시코
NI	니카라과
PA	파나마
KN	세인트키츠 네비스
LC	세인트루시아
VC	세인트빈센트 그레나딘
TT	트리니다드 토바고
US	미국
AR	아르헨티나
BO	볼리비아
BR	브라질
CL	칠레
CO	콜롬비아
EC	에콰도르
GY	가이아나
PY	파라과이
PE	페루
SR	수리남
UY	우루과이
VE	베네수엘라
AU	호주
FJ	피지
KI	키리바시
MH	마셜 제도
FM	미크로네시아
NR	나우루
NZ	뉴질랜드
PW	팔라우
PG	파푸아뉴기니
WS	사모아
SB	솔로몬 제도
TO	통가
TV	투발루
VU	바누아투
